Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
27,Non-Travel,733,Research & Development,4,3,2,Female,2,Laboratory Technician,1,Married,12826,9,No,10,3,1,0,32,2,1,29,12,2,0,No
42,Travel_Rarely,738,Research & Development,26,1,2,Male,3,Healthcare Representative,4,Single,3718,3,Yes,22,4,4,0,6,3,3,22,11,0,14,No
46,Non-Travel,100,Human Resources,24,3,1,Male,5,Laboratory Technician,1,Married,11547,2,No,22,4,4,2,17,2,1,31,1,14,16,No
53,Non-Travel,519,Sales,16,4,4,Male,3,Research Scientist,3,Single,9350,7,Yes,11,3,4,0,20,1,1,24,1,1,4,Yes
38,Travel_Rarely,1204,Sales,8,2,4,Female,4,Manager,4,Married,6339,5,No,18,4,1,2,9,4,1,29,10,9,16,No
18,Non-Travel,1263,Research & Development,13,1,1,Female,2,Research Scientist,2,Divorced,14669,4,Yes,18,4,4,2,17,5,2,24,5,10,2,Yes
29,Non-Travel,1499,Human Resources,22,1,2,Female,4,Sales Representative,2,Married,2626,0,No,23,4,4,1,4,3,3,16,10,10,2,No
53,Travel_Frequently,220,Sales,8,3,2,Male,3,Sales Executive,2,Divorced,8095,5,No,16,4,1,2,14,1,3,34,5,14,9,No
40,Travel_Frequently,451,Human Resources,10,3,4,Male,4,Manager,2,Married,16836,0,No,12,4,3,2,15,2,1,5,17,4,9,No
44,Travel_Rarely,1172,Sales,13,4,1,Female,1,Healthcare Representative,4,Divorced,13771,9,Yes,17,3,4,2,9,1,2,16,2,9,14,Yes
37,Travel_Frequently,605,Research & Development,2,2,4,Female,5,Laboratory Technician,3,Married,4335,2,Yes,13,3,4,2,38,3,1,30,8,8,15,Yes
24,Non-Travel,447,Research & Development,12,4,1,Female,1,Sales Representative,2,Single,19698,7,No,11,4,2,2,33,4,3,17,9,8,15,No
55,Travel_Frequently,493,Sales,4,2,3,Female,1,Sales Representative,3,Divorced,15650,1,Yes,21,4,2,0,13,0,1,31,4,13,1,Yes
50,Travel_Rarely,1385,Human Resources,1,3,3,Female,4,Manager,3,Married,2293,8,No,20,3,2,2,30,0,1,20,9,13,11,No
59,Travel_Frequently,1301,Sales,11,3,1,Female,2,Manufacturing Director,4,Single,17719,4,Yes,19,4,1,2,27,4,3,10,12,12,14,No
53,Non-Travel,107,Research & Development,22,2,1,Female,5,Laboratory Technician,4,Single,2103,4,No,19,3,2,2,19,4,3,2,14,4,13,No
30,Travel_Rarely,1276,Research & Development,28,2,2,Male,4,Sales Representative,2,Married,10706,1,Yes,20,4,2,0,3,5,1,1,10,8,2,Yes
28,Non-Travel,879,Research & Development,13,4,4,Male,2,Manager,4,Divorced,12637,1,Yes,14,4,3,2,16,5,1,10,10,13,9,No
28,Travel_Rarely,1282,Sales,22,3,3,Male,5,Manufacturing Director,2,Single,6620,8,No,23,3,4,0,13,4,2,9,0,10,10,Yes
56,Travel_Rarely,971,Research & Development,7,3,4,Female,5,Laboratory Technician,4,Single,19118,9,Yes,16,4,1,1,8,2,1,32,14,14,10,No
41,Travel_Frequently,1063,Research & Development,18,3,2,Male,2,Laboratory Technician,1,Married,16071,5,No,12,3,4,0,32,2,1,12,5,2,2,No
37,Travel_Frequently,908,Research & Development,19,4,3,Male,4,Laboratory Technician,3,Married,10572,9,No,22,4,4,2,32,1,2,7,8,0,11,No
58,Non-Travel,1128,Human Resources,10,4,4,Female,3,Research Scientist,3,Single,10033,3,Yes,19,4,2,1,23,2,2,1,9,3,8,Yes
43,Travel_Rarely,1241,Human Resources,13,2,2,Female,5,Sales Representative,2,Married,10108,2,No,16,4,1,1,7,4,1,16,1,12,3,Yes
56,Travel_Rarely,811,Sales,19,2,4,Male,5,Laboratory Technician,3,Single,9786,7,No,16,3,1,0,25,0,2,34,15,12,14,No
59,Travel_Frequently,257,Human Resources,9,4,4,Male,2,Sales Representative,1,Married,5681,8,No,24,3,1,1,2,1,1,13,7,13,14,No
21,Non-Travel,230,Human Resources,17,2,3,Male,5,Sales Executive,1,Married,13561,0,No,11,3,4,0,31,5,2,0,3,4,2,Yes
33,Non-Travel,681,Human Resources,7,4,2,Male,4,Manufacturing Director,2,Single,8255,5,Yes,23,4,3,2,8,1,3,28,4,2,11,Yes
48,Travel_Frequently,762,Human Resources,15,4,1,Female,1,Healthcare Representative,4,Single,15606,7,No,10,3,4,1,22,5,1,27,10,11,6,No
52,Non-Travel,1309,Sales,2,3,1,Female,3,Sales Executive,1,Married,1581,3,No,24,3,2,0,13,5,3,3,16,1,12,No
24,Non-Travel,146,Research & Development,13,3,4,Female,2,Sales Executive,2,Married,4741,4,No,16,3,4,0,28,4,1,3,10,13,5,No
31,Non-Travel,1344,Research & Development,15,4,2,Male,5,Laboratory Technician,4,Married,11203,0,Yes,10,4,2,0,8,2,1,7,5,10,7,Yes
41,Non-Travel,177,Human Resources,24,2,4,Male,1,Laboratory Technician,2,Single,6886,2,Yes,22,4,1,2,15,5,2,32,15,10,5,Yes
51,Travel_Frequently,797,Human Resources,11,2,2,Male,1,Research Scientist,4,Single,16591,8,No,23,4,2,2,12,1,3,34,14,11,2,No
22,Non-Travel,691,Sales,1,3,2,Female,1,Manager,1,Single,13435,9,Yes,13,3,2,2,9,4,2,13,11,5,0,Yes
43,Travel_Rarely,881,Human Resources,2,1,3,Female,1,Manufacturing Director,3,Married,15945,9,Yes,18,4,2,1,22,1,1,16,10,14,2,Yes
30,Travel_Frequently,159,Human Resources,16,3,2,Female,3,Sales Representative,2,Married,15400,4,No,13,4,4,1,36,3,3,34,8,0,9,No
27,Non-Travel,1169,Research & Development,23,3,2,Male,5,Laboratory Technician,1,Divorced,9648,2,Yes,10,3,1,0,5,4,1,20,16,0,8,Yes
39,Travel_Rarely,288,Research & Development,25,3,2,Male,3,Healthcare Representative,4,Divorced,3157,9,Yes,10,3,2,0,12,3,3,3,12,6,12,No
35,Travel_Frequently,1191,Research & Development,23,3,4,Male,1,Laboratory Technician,2,Divorced,9588,0,Yes,18,3,1,0,26,4,1,4,4,12,13,Yes
44,Non-Travel,893,Human Resources,10,1,4,Female,5,Healthcare Representative,1,Single,5979,7,Yes,13,3,4,2,28,4,1,3,6,2,8,Yes
31,Travel_Rarely,1343,Human Resources,14,2,3,Male,5,Sales Representative,2,Divorced,14034,3,Yes,21,3,2,1,3,0,2,2,6,4,13,Yes
52,Non-Travel,1470,Research & Development,25,4,4,Male,4,Laboratory Technician,3,Single,19196,2,No,15,3,4,1,15,0,2,24,16,9,2,No
21,Travel_Frequently,1281,Human Resources,24,2,2,Female,1,Sales Representative,2,Divorced,18808,9,No,16,4,3,1,17,3,3,23,4,5,14,No
54,Non-Travel,732,Sales,13,2,3,Male,2,Manager,2,Married,15337,8,Yes,16,3,3,2,19,1,2,30,0,14,3,Yes
19,Travel_Frequently,680,Research & Development,14,3,2,Female,1,Research Scientist,3,Divorced,15228,8,No,21,3,3,1,39,5,3,10,9,6,10,No
48,Travel_Rarely,1028,Research & Development,2,3,2,Male,4,Sales Representative,3,Married,19354,7,Yes,18,3,2,1,25,0,3,18,14,14,9,No
32,Non-Travel,1009,Sales,5,1,3,Female,2,Manufacturing Director,4,Divorced,10725,4,Yes,22,3,2,1,33,4,1,14,17,13,2,Yes
34,Travel_Rarely,1206,Research & Development,15,1,2,Male,1,Manager,1,Single,1729,4,No,16,3,4,0,34,2,2,16,13,3,1,No
18,Travel_Rarely,776,Human Resources,15,4,1,Female,4,Sales Representative,1,Married,18344,8,No,16,3,2,2,1,4,2,9,1,6,6,No
47,Non-Travel,747,Human Resources,17,3,2,Female,4,Manufacturing Director,4,Divorced,11890,9,Yes,14,3,4,0,38,5,3,11,6,13,2,No
24,Non-Travel,265,Human Resources,9,4,1,Male,3,Sales Representative,4,Single,19770,2,Yes,18,3,3,0,27,3,2,3,8,4,10,Yes
45,Travel_Rarely,336,Sales,7,4,3,Male,1,Sales Executive,3,Married,16562,5,Yes,24,4,4,0,37,4,3,5,6,5,1,No
48,Travel_Frequently,1250,Sales,13,1,3,Female,5,Healthcare Representative,4,Divorced,14761,5,No,21,4,4,0,20,0,2,15,13,5,4,No
53,Travel_Rarely,1484,Research & Development,25,2,1,Female,2,Manager,3,Single,8928,1,Yes,24,4,3,2,1,1,3,26,7,8,0,No
47,Travel_Rarely,942,Sales,28,4,2,Female,4,Sales Executive,4,Married,18219,6,Yes,10,3,2,2,13,0,2,28,5,7,0,Yes
30,Non-Travel,581,Sales,2,2,2,Female,1,Laboratory Technician,2,Married,18442,2,Yes,16,4,4,1,38,1,2,18,1,10,6,Yes
49,Travel_Rarely,181,Research & Development,10,1,1,Female,3,Manufacturing Director,2,Divorced,18903,1,Yes,22,3,4,1,28,3,2,32,2,5,12,Yes
52,Travel_Frequently,160,Human Resources,15,1,1,Female,5,Sales Executive,3,Married,11477,5,No,20,3,1,1,22,4,2,16,0,6,2,No
31,Non-Travel,1047,Human Resources,7,3,2,Male,3,Manager,2,Divorced,12047,1,Yes,11,4,4,2,36,4,3,15,11,13,11,Yes
23,Non-Travel,998,Sales,10,2,3,Female,2,Manufacturing Director,2,Married,14280,9,No,18,3,4,0,16,4,2,21,5,10,8,No
55,Travel_Frequently,496,Human Resources,4,4,3,Female,3,Laboratory Technician,2,Married,6940,0,No,20,3,2,0,33,5,3,8,6,14,15,No
24,Non-Travel,364,Research & Development,13,4,1,Male,2,Sales Representative,3,Married,4128,9,No,10,4,1,1,8,5,1,5,0,0,5,No
42,Travel_Frequently,196,Sales,25,1,1,Male,4,Sales Representative,3,Divorced,15058,9,No,14,3,2,0,11,4,3,33,17,3,11,No
27,Travel_Rarely,1055,Research & Development,27,4,1,Male,3,Manufacturing Director,1,Single,9451,9,Yes,24,4,4,2,5,5,1,34,13,4,0,Yes
23,Travel_Rarely,949,Sales,1,1,4,Female,5,Manufacturing Director,2,Single,4565,3,No,24,3,3,2,5,5,3,19,6,1,2,No
50,Non-Travel,566,Human Resources,18,3,3,Female,1,Research Scientist,2,Single,18940,4,Yes,21,3,1,1,24,5,2,6,1,0,16,Yes
24,Non-Travel,1125,Human Resources,26,4,2,Female,5,Sales Representative,2,Single,7681,3,No,24,3,3,0,11,1,1,24,7,5,8,Yes
46,Travel_Frequently,1283,Human Resources,22,2,1,Female,2,Manager,3,Married,12913,9,No,13,3,2,0,6,0,3,25,14,0,7,No
47,Non-Travel,824,Sales,2,1,1,Female,1,Sales Executive,4,Married,8866,3,No,12,3,1,0,28,4,2,30,12,8,0,No
20,Non-Travel,467,Research & Development,11,1,2,Male,2,Laboratory Technician,3,Married,8727,5,Yes,22,3,1,0,36,4,2,0,15,12,9,Yes
25,Travel_Frequently,107,Research & Development,22,2,4,Female,3,Healthcare Representative,1,Divorced,17179,9,Yes,18,4,3,0,13,0,1,20,0,3,14,Yes
51,Travel_Rarely,1213,Human Resources,28,4,1,Male,4,Manufacturing Director,3,Single,16800,1,No,23,3,3,0,36,4,1,19,9,13,7,No
39,Non-Travel,907,Research & Development,9,2,3,Male,3,Manufacturing Director,1,Divorced,9522,0,Yes,10,4,2,1,11,1,1,34,8,13,6,Yes
23,Non-Travel,586,Research & Development,8,2,3,Female,2,Manufacturing Director,3,Single,10821,3,No,14,3,1,2,22,2,2,29,9,5,6,No
59,Travel_Rarely,109,Research & Development,7,1,4,Male,4,Laboratory Technician,1,Married,13018,9,No,24,3,4,0,33,0,1,5,6,11,14,No
29,Non-Travel,1239,Sales,26,3,2,Female,1,Research Scientist,2,Single,3555,1,No,23,4,4,0,12,2,3,21,1,14,14,No
18,Travel_Rarely,1396,Human Resources,6,1,2,Female,2,Sales Representative,3,Married,17491,5,No,24,4,4,2,38,1,1,33,6,1,3,No
56,Non-Travel,773,Human Resources,11,3,3,Male,5,Manager,1,Single,11773,6,Yes,10,4,2,1,23,3,3,22,1,12,7,Yes
18,Travel_Frequently,474,Sales,4,4,2,Male,5,Healthcare Representative,3,Married,4016,5,Yes,16,3,1,1,22,2,3,2,3,8,0,No
41,Non-Travel,967,Research & Development,27,4,1,Female,2,Manufacturing Director,2,Single,14012,3,Yes,19,3,3,2,23,4,3,31,6,14,14,Yes
59,Non-Travel,1319,Human Resources,2,3,3,Male,3,Manager,1,Divorced,14021,3,Yes,14,4,1,1,28,1,2,29,7,11,9,Yes
42,Travel_Frequently,922,Sales,15,3,4,Female,2,Manager,2,Married,12893,2,Yes,22,3,1,0,2,0,2,17,6,12,0,Yes
42,Travel_Rarely,116,Research & Development,5,2,4,Male,2,Sales Representative,2,Divorced,13999,0,No,19,3,2,1,11,3,1,4,17,13,4,No
34,Non-Travel,373,Research & Development,12,3,1,Female,1,Manufacturing Director,3,Divorced,17104,9,Yes,11,4,4,2,13,1,1,25,2,0,0,No
23,Travel_Frequently,236,Research & Development,17,3,4,Female,4,Healthcare Representative,1,Single,11680,8,No,21,3,4,0,2,0,1,26,7,14,1,Yes
42,Travel_Frequently,675,Research & Development,20,1,3,Male,4,Research Scientist,4,Married,3495,8,Yes,20,3,3,2,21,0,3,31,17,7,11,No
55,Travel_Rarely,731,Human Resources,16,2,3,Female,3,Manager,3,Single,18274,5,Yes,23,3,4,2,4,5,1,31,3,3,12,Yes
21,Travel_Rarely,849,Sales,12,4,2,Male,4,Manager,4,Divorced,9708,3,No,23,4,4,0,17,1,1,22,7,2,3,No
54,Travel_Frequently,1162,Sales,8,2,4,Male,5,Sales Executive,4,Single,11295,0,Yes,16,3,3,1,8,5,3,10,9,12,13,No
35,Travel_Frequently,257,Research & Development,23,1,3,Female,5,Sales Representative,4,Single,6838,7,Yes,10,3,3,0,16,5,1,5,12,11,6,Yes
40,Travel_Frequently,1419,Human Resources,20,4,1,Female,1,Manufacturing Director,1,Divorced,4419,7,No,16,4,4,2,2,5,3,24,1,5,5,No
24,Travel_Frequently,468,Research & Development,19,4,1,Female,4,Sales Executive,2,Married,18566,8,Yes,16,3,4,2,37,3,2,7,13,3,14,Yes
44,Non-Travel,829,Sales,22,4,3,Female,1,Manager,4,Divorced,13916,4,Yes,17,4,2,2,15,5,1,16,11,8,16,No
25,Non-Travel,395,Sales,7,2,2,Female,4,Sales Representative,2,Married,9483,6,No,18,3,4,1,8,5,2,4,11,7,9,No
29,Travel_Frequently,597,Human Resources,28,3,3,Female,5,Manufacturing Director,2,Single,9215,3,Yes,13,3,2,2,2,5,2,31,15,0,15,Yes
48,Non-Travel,1265,Sales,26,4,4,Female,5,Research Scientist,2,Married,7949,9,No,23,4,2,1,33,1,1,23,1,8,1,Yes
20,Travel_Frequently,162,Sales,13,3,2,Male,3,Sales Executive,3,Divorced,19838,0,Yes,10,4,1,1,25,2,2,19,2,6,1,Yes
36,Travel_Frequently,776,Research & Development,6,4,4,Female,5,Laboratory Technician,1,Single,6727,5,Yes,20,4,2,2,14,4,3,6,0,12,13,No
42,Travel_Frequently,917,Research & Development,11,4,1,Male,2,Healthcare Representative,2,Married,16548,6,No,23,3,1,2,1,5,2,16,8,2,2,Yes
23,Non-Travel,897,Sales,11,4,2,Female,5,Research Scientist,3,Single,1621,0,No,10,3,1,1,24,3,2,12,12,0,11,No
30,Travel_Rarely,632,Sales,28,3,2,Male,4,Healthcare Representative,3,Married,4033,6,No,16,3,2,2,39,1,2,20,13,6,16,No
32,Travel_Frequently,628,Sales,9,2,3,Female,4,Manager,3,Single,5791,9,No,14,3,4,1,18,3,1,11,12,12,11,No
45,Travel_Rarely,1372,Research & Development,27,2,1,Male,5,Healthcare Representative,3,Married,8406,9,Yes,20,3,1,1,23,2,1,5,5,13,6,No
59,Travel_Frequently,437,Human Resources,7,4,2,Male,4,Sales Representative,1,Divorced,10360,0,No,21,4,2,2,11,3,1,4,6,9,7,Yes
53,Non-Travel,772,Sales,26,2,2,Male,5,Healthcare Representative,3,Divorced,4407,1,Yes,21,3,1,1,16,0,1,17,6,7,6,Yes
25,Travel_Frequently,609,Research & Development,27,1,3,Male,3,Manufacturing Director,3,Single,7797,4,No,14,3,4,0,32,1,2,25,12,10,15,No
18,Travel_Rarely,1171,Sales,18,1,1,Female,5,Research Scientist,1,Single,18233,9,Yes,15,3,4,2,4,4,1,1,9,2,6,Yes
20,Non-Travel,1228,Human Resources,4,3,3,Female,5,Healthcare Representative,2,Divorced,6112,4,Yes,24,4,2,0,21,1,2,26,3,1,13,Yes
43,Non-Travel,1287,Sales,18,4,3,Female,1,Manager,2,Divorced,2066,4,No,15,3,3,2,16,5,1,29,7,4,12,No
24,Travel_Frequently,218,Sales,26,2,3,Female,2,Research Scientist,1,Single,4012,7,No,21,3,3,0,16,0,3,2,11,10,15,No
27,Travel_Rarely,237,Sales,26,3,3,Male,5,Healthcare Representative,4,Divorced,8961,0,Yes,24,4,1,0,17,4,3,14,15,10,3,No
53,Travel_Frequently,625,Research & Development,13,2,3,Male,4,Sales Representative,3,Single,18417,8,Yes,12,4,3,2,32,1,2,27,12,1,1,Yes
54,Non-Travel,717,Human Resources,14,2,1,Female,1,Manufacturing Director,2,Single,5313,7,No,22,4,1,0,11,2,3,11,9,11,3,No
53,Travel_Frequently,188,Sales,11,2,3,Female,3,Sales Representative,4,Single,12335,9,No,12,4,2,2,24,0,3,16,3,4,13,No
28,Travel_Rarely,1351,Research & Development,6,2,3,Male,2,Manager,4,Divorced,9891,4,Yes,21,4,2,2,37,5,3,7,17,8,3,No
44,Travel_Rarely,1355,Sales,19,4,1,Female,1,Sales Representative,1,Divorced,13528,7,Yes,15,4,1,0,22,4,3,27,13,9,12,Yes
43,Non-Travel,694,Sales,28,4,1,Male,1,Laboratory Technician,2,Married,16157,0,No,12,4,1,2,1,1,2,29,8,13,14,Yes
25,Travel_Frequently,1177,Sales,8,2,2,Male,2,Sales Executive,4,Single,2623,2,Yes,21,4,2,2,32,4,1,0,8,11,6,Yes
41,Non-Travel,891,Human Resources,24,2,2,Female,2,Manufacturing Director,3,Married,1936,1,Yes,13,4,1,2,4,5,2,30,7,4,16,No
40,Travel_Frequently,1019,Research & Development,3,1,1,Male,5,Laboratory Technician,2,Married,17616,6,No,23,3,4,2,17,3,3,3,4,9,3,No
34,Travel_Rarely,1322,Research & Development,2,4,4,Male,2,Sales Executive,3,Single,6366,9,No,24,4,4,1,39,0,1,7,13,4,13,No
49,Travel_Frequently,228,Sales,26,3,3,Female,1,Manager,4,Married,9894,7,Yes,23,3,3,2,5,0,3,19,5,0,9,No
46,Non-Travel,425,Sales,4,4,4,Male,5,Sales Executive,1,Married,16978,6,No,16,3,4,0,6,2,3,30,11,10,11,No
40,Travel_Frequently,699,Human Resources,12,3,4,Female,3,Manager,1,Divorced,18203,7,Yes,17,3,4,1,5,3,1,29,0,4,14,Yes
48,Travel_Frequently,1352,Research & Development,25,4,3,Male,5,Manager,2,Divorced,6914,9,No,10,3,3,2,14,0,3,17,17,10,9,No
50,Travel_Frequently,928,Sales,10,1,4,Female,2,Research Scientist,1,Single,19063,6,No,18,4,3,2,12,1,3,11,15,7,13,No
41,Travel_Frequently,655,Research & Development,9,2,3,Female,1,Manager,2,Single,7227,7,Yes,22,3,4,1,35,3,1,16,12,8,8,Yes
29,Travel_Rarely,140,Research & Development,2,2,4,Male,5,Laboratory Technician,1,Divorced,12713,2,Yes,14,4,1,1,2,2,3,19,2,4,7,No
49,Travel_Rarely,930,Research & Development,20,4,1,Female,1,Laboratory Technician,1,Married,6739,6,Yes,10,4,2,2,12,2,2,2,1,6,12,Yes
48,Travel_Rarely,477,Research & Development,9,1,4,Female,4,Sales Executive,3,Married,7514,6,Yes,12,4,1,1,18,1,3,2,10,14,1,Yes
59,Non-Travel,559,Human Resources,4,2,2,Male,1,Manufacturing Director,2,Married,14126,1,No,15,4,4,0,34,4,1,34,5,2,13,Yes
24,Travel_Frequently,1494,Sales,14,1,2,Female,5,Sales Executive,3,Single,17420,7,Yes,21,3,3,2,3,0,2,19,10,14,0,No
35,Non-Travel,837,Research & Development,5,4,2,Male,3,Sales Representative,2,Single,17883,4,Yes,15,4,4,1,21,3,1,31,16,14,9,Yes
56,Travel_Rarely,294,Human Resources,24,2,2,Female,1,Healthcare Representative,3,Married,12466,9,Yes,21,3,2,2,12,4,2,1,9,12,8,Yes
39,Travel_Rarely,169,Human Resources,21,1,2,Male,5,Sales Executive,3,Divorced,8448,2,Yes,14,3,4,0,0,4,1,31,8,9,9,Yes
57,Non-Travel,643,Human Resources,28,1,2,Male,2,Laboratory Technician,1,Married,10203,4,Yes,11,4,2,0,2,2,3,17,15,13,3,Yes
18,Non-Travel,191,Human Resources,28,3,4,Male,4,Manager,3,Divorced,19483,1,No,21,3,1,0,16,1,2,27,1,9,7,No
19,Travel_Frequently,700,Sales,24,2,3,Male,1,Manufacturing Director,3,Married,3280,0,No,18,4,1,0,34,4,2,5,2,4,2,No
51,Travel_Rarely,680,Human Resources,15,3,4,Male,3,Sales Representative,3,Divorced,4332,4,No,12,4,3,1,21,1,3,19,3,12,11,No
33,Non-Travel,1331,Sales,5,1,4,Female,2,Sales Executive,3,Divorced,15038,9,No,19,3,1,2,37,1,1,29,11,2,0,No
39,Travel_Rarely,568,Research & Development,2,4,3,Female,5,Sales Representative,1,Married,17624,3,No,12,4,4,1,20,0,2,11,13,3,13,Yes
35,Travel_Frequently,486,Research & Development,3,4,2,Female,1,Manufacturing Director,4,Married,6970,8,No,19,3,2,0,38,1,3,9,3,8,8,No
35,Travel_Frequently,962,Human Resources,7,1,3,Female,3,Manager,2,Single,8053,9,No,16,3,4,2,21,1,1,21,3,2,6,No
57,Non-Travel,994,Human Resources,25,2,1,Female,2,Laboratory Technician,1,Divorced,6850,8,No,17,3,4,1,11,3,1,20,14,11,6,Yes
21,Travel_Rarely,153,Human Resources,6,1,3,Female,4,Healthcare Representative,4,Divorced,4632,0,Yes,24,3,4,2,7,1,2,1,13,0,13,Yes
50,Travel_Rarely,217,Sales,3,1,1,Female,3,Sales Executive,3,Single,10658,7,Yes,20,3,4,2,12,2,1,24,9,5,7,No
55,Travel_Rarely,334,Human Resources,27,4,2,Male,3,Research Scientist,4,Single,14059,0,No,10,4,4,2,5,2,2,24,11,11,1,No
45,Travel_Rarely,1187,Human Resources,13,1,2,Female,5,Sales Representative,2,Married,10244,2,Yes,17,4,1,2,28,2,3,24,12,7,0,Yes
34,Travel_Frequently,393,Sales,12,2,4,Female,4,Healthcare Representative,4,Divorced,6160,6,No,22,3,2,0,19,3,1,20,10,9,10,No
24,Non-Travel,1489,Research & Development,9,4,3,Male,4,Manager,4,Married,10483,9,No,15,3,1,1,3,3,1,10,12,5,15,No
46,Travel_Rarely,716,Sales,27,2,3,Female,2,Sales Representative,3,Single,4086,0,No,24,4,1,2,10,3,3,4,11,14,9,No
37,Travel_Frequently,1406,Research & Development,10,3,3,Male,2,Laboratory Technician,2,Divorced,9589,9,No,12,3,4,0,14,0,3,0,0,4,12,No
24,Travel_Rarely,445,Sales,25,1,3,Male,1,Laboratory Technician,3,Divorced,10567,5,Yes,10,4,2,0,38,1,2,2,16,2,10,No
33,Travel_Rarely,693,Research & Development,28,4,1,Male,3,Sales Executive,3,Married,10155,7,No,22,3,3,1,22,0,2,14,6,4,15,No
58,Non-Travel,292,Sales,13,4,1,Male,4,Research Scientist,3,Married,4769,8,No,13,3,3,1,5,3,2,22,6,11,2,No
29,Travel_Rarely,1284,Human Resources,20,4,4,Female,2,Research Scientist,2,Married,6250,5,Yes,24,3,3,1,30,3,1,0,5,6,16,Yes
25,Travel_Frequently,936,Human Resources,1,3,3,Female,2,Sales Executive,3,Married,11148,1,Yes,10,3,4,1,0,4,3,1,12,0,16,Yes
46,Non-Travel,205,Human Resources,22,4,3,Male,1,Sales Representative,3,Divorced,17147,7,No,21,4,4,0,36,3,3,15,5,5,14,No
26,Non-Travel,1141,Human Resources,28,3,2,Female,3,Manager,1,Divorced,18791,0,Yes,18,3,2,2,37,4,1,14,3,0,0,Yes
56,Travel_Rarely,1342,Research & Development,6,2,4,Female,5,Sales Representative,3,Divorced,5685,1,Yes,24,4,3,1,35,0,2,18,16,11,13,No
54,Travel_Frequently,1059,Sales,1,4,1,Female,4,Laboratory Technician,1,Divorced,1573,9,Yes,24,4,1,0,21,1,3,13,9,6,14,Yes
59,Non-Travel,1231,Research & Development,2,2,2,Male,1,Sales Representative,4,Divorced,7735,9,Yes,21,3,4,0,9,0,1,26,6,1,12,No
56,Travel_Frequently,486,Research & Development,24,4,3,Female,3,Manager,2,Single,8290,8,Yes,22,4,1,2,16,1,3,18,4,12,2,No
28,Travel_Rarely,705,Sales,7,4,2,Female,5,Research Scientist,3,Married,9553,9,Yes,18,4,1,1,33,4,2,30,1,9,14,Yes
26,Travel_Rarely,1296,Sales,12,2,4,Male,1,Manager,3,Divorced,12910,2,Yes,19,3,2,0,13,1,3,17,0,11,0,No
32,Non-Travel,951,Sales,10,1,1,Female,2,Research Scientist,4,Married,6157,9,No,18,4,1,0,31,2,1,1,6,1,9,Yes
37,Non-Travel,956,Human Resources,9,1,3,Male,5,Sales Representative,2,Single,10540,4,Yes,24,4,1,0,33,0,3,28,13,8,6,Yes
54,Travel_Rarely,1173,Sales,5,3,4,Female,4,Laboratory Technician,4,Single,2345,0,Yes,10,4,2,0,13,2,1,33,7,6,16,No
48,Travel_Rarely,960,Human Resources,12,3,1,Female,1,Sales Representative,1,Married,12412,1,No,16,4,4,1,15,4,2,24,8,11,4,Yes
45,Travel_Rarely,276,Human Resources,26,3,3,Female,1,Healthcare Representative,1,Divorced,9251,7,No,10,3,2,2,30,2,2,12,1,10,10,No
54,Travel_Rarely,397,Sales,10,3,1,Female,1,Manager,1,Divorced,1932,8,No,24,4,4,2,10,5,3,13,13,13,0,No
45,Non-Travel,1189,Sales,23,1,3,Female,3,Manager,1,Divorced,18232,3,Yes,14,4,3,0,23,5,1,13,5,7,9,Yes
33,Non-Travel,439,Research & Development,20,1,2,Male,2,Healthcare Representative,4,Single,11373,1,Yes,13,3,2,1,3,0,1,10,3,3,3,No
35,Travel_Rarely,1031,Sales,23,2,4,Female,1,Sales Executive,1,Divorced,4848,2,Yes,24,3,3,1,28,0,2,21,10,9,2,Yes
39,Non-Travel,764,Human Resources,17,4,1,Male,1,Manager,3,Divorced,13713,8,Yes,21,4,2,0,10,2,2,7,2,8,0,Yes
21,Non-Travel,968,Human Resources,11,3,2,Female,1,Manufacturing Director,3,Single,16789,8,No,12,3,3,0,7,1,1,29,0,14,13,No
49,Travel_Frequently,432,Research & Development,8,2,1,Female,2,Healthcare Representative,2,Married,12574,2,Yes,11,3,2,1,35,4,1,17,1,9,5,Yes
45,Non-Travel,534,Sales,8,3,3,Male,2,Sales Representative,1,Single,8872,0,No,23,3,4,2,13,2,2,9,2,11,2,No
48,Travel_Rarely,1063,Human Resources,15,2,1,Female,4,Manufacturing Director,1,Married,2287,1,Yes,10,3,2,0,35,1,2,3,16,13,14,Yes
40,Non-Travel,340,Research & Development,12,1,3,Male,4,Manager,2,Single,15660,4,No,18,3,4,2,17,2,2,24,7,8,13,Yes
50,Travel_Rarely,531,Research & Development,12,3,2,Male,4,Healthcare Representative,3,Divorced,3443,2,Yes,17,3,2,2,1,2,1,8,1,1,2,Yes
57,Non-Travel,1497,Human Resources,11,3,4,Female,4,Research Scientist,3,Single,10503,4,Yes,19,4,1,2,29,3,3,28,9,8,8,No
41,Travel_Frequently,312,Sales,26,4,1,Male,3,Research Scientist,3,Divorced,14235,5,Yes,21,4,1,1,13,0,1,22,3,1,4,Yes
